FillerCategory,Length,position,surprisal
NP,CP,1,4.729301929473877
NP,CP,2,16.31235482543707
NP,CP,3,9.564584592978159
NP,CP,4,6.4532003204027815
NP,CP,5,13.732356945673624
NP,CP,6,10.658049635278681
NP,CP,7,11.583907326062521
NP,CP,9,7.334808429082234
NP,CP,10,3.5488081127405167
NP,CP,11,11.044430740177631
NP,CP,12,16.27715994625275
NP,CP,13,8.289426314954957
NP,CP,14,6.857163627942403
NP,CP,15,11.776332755883535
NP,CP,16,8.477383726130938
NP,CP,17,4.39999017616113
NP,CP,18,11.148581763108572
NP,CP,19,7.8512623209971935
NP,CP,20,6.09188294907411
NP,CP,21,7.294224939541891
NP,CP,22,7.6687176773945485
NP,CP,23,8.180676217312397
NP,CP,24,5.721855716860812
NP,CP,25,8.142560152662918
NP,CP,26,7.899658261798322
NP,CP,27,3.15201473236084
NP,PP,1,4.729301929473877
NP,PP,2,16.31235482543707
NP,PP,3,9.564584592978159
NP,PP,4,6.4532003204027815
NP,PP,5,11.655303167800108
NP,PP,6,7.859530766805013
NP,PP,7,2.3772851948936777
NP,PP,9,11.895779112974802
NP,PP,10,10.560546241766133
NP,PP,11,4.053288534128417
NP,PP,12,16.4619575223187
NP,PP,13,8.299894680579504
NP,PP,14,7.5464503566424055
NP,PP,15,11.945843557516733
NP,PP,16,8.949100723963056
NP,PP,17,3.6444467256466546
NP,PP,18,10.684652169545492
NP,PP,19,7.956839104377044
NP,PP,20,5.942237148682276
NP,PP,21,7.554028113527844
NP,PP,22,8.167152802149454
NP,PP,23,8.129653481037721
NP,PP,24,5.388564579512762
NP,PP,25,8.216842085961252
NP,PP,26,8.337265642639249
NP,PP,27,5.2672611474990845
NP,Short,1,4.729301929473877
NP,Short,2,15.081808768212795
NP,Short,3,5.565746416648229
NP,Short,4,10.839902328094468
NP,Short,5,3.6727618177731833
NP,Short,6,2.4619188457727432
NP,Short,7,13.339284592618545
NP,Short,9,9.91997355222702
NP,Short,10,5.976418534914653
NP,Short,11,10.363089427351952
NP,Short,12,15.50857540780756
NP,Short,13,7.613154744341348
NP,Short,14,7.9704497655232744
NP,Short,15,12.073210855325064
NP,Short,16,8.457272996866473
NP,Short,17,4.303850211203098
NP,Short,18,10.395853598912558
NP,Short,19,7.3076201149572935
NP,Short,20,5.979386419057846
NP,Short,21,7.319765934410194
NP,Short,22,6.537404477596283
NP,Short,23,8.345783453272736
NP,Short,24,4.969805313517218
NP,Short,25,7.732809780538082
NP,Short,26,7.606421389337629
NP,Short,27,4.110230803489685
PP,CP,1,4.729301929473877
PP,CP,2,16.31235482543707
PP,CP,3,7.32615002989769
PP,CP,4,7.5784210960070295
PP,CP,5,3.377252181371053
PP,CP,6,14.19588871796926
PP,CP,7,11.407575350565216
PP,CP,8,11.763654053211212
PP,CP,9,5.023308257261912
PP,CP,10,3.181288411219915
PP,CP,11,12.082103811204433
PP,CP,12,16.041891365118016
PP,CP,13,8.668431729078293
PP,CP,14,3.1471976091464358
PP,CP,15,11.445331374804178
PP,CP,16,8.332042400877981
PP,CP,17,8.28961349527041
PP,CP,18,7.76127888681367
PP,CP,19,6.221897681554159
PP,CP,20,6.909300221595913
PP,CP,21,7.26491138835748
PP,CP,22,8.004597849738987
PP,CP,23,6.004378840975139
PP,CP,24,8.456291267462074
PP,CP,25,8.56587646342814
PP,CP,26,3.733126163482666
PP,PP,1,4.729301929473877
PP,PP,2,16.31235482543707
PP,PP,3,7.32615002989769
PP,PP,4,7.5784210960070295
PP,PP,5,3.062652806440989
PP,PP,6,12.543264508247375
PP,PP,7,8.43373449643453
PP,PP,8,2.533550089846055
PP,PP,9,11.967457711696625
PP,PP,10,10.379962738480875
PP,PP,11,4.138710465747863
PP,PP,12,16.731957850114366
PP,PP,13,9.003553019215664
PP,PP,14,2.9161304483811064
PP,PP,15,11.353358010450998
PP,PP,16,8.781896248359772
PP,PP,17,8.94296290477117
PP,PP,18,7.308122183041027
PP,PP,19,5.959339010218779
PP,PP,20,7.418436913440624
PP,PP,21,7.537923355897267
PP,PP,22,8.136529422810543
PP,PP,23,5.498236162830954
PP,PP,24,8.357895256532355
PP,PP,25,8.635968349361793
PP,PP,26,5.928927302360535
PP,Short,1,4.729301929473877
PP,Short,2,15.081808768212795
PP,Short,3,5.565746416648229
PP,Short,4,10.839902328094468
PP,Short,5,3.6727618177731833
PP,Short,6,2.4619188457727432
PP,Short,7,13.339284592618545
PP,Short,8,8.967017551263174
PP,Short,9,7.030988325675328
PP,Short,10,3.573130955298742
PP,Short,11,10.912233889102936
PP,Short,12,16.55823063913461
PP,Short,13,8.750329613064727
PP,Short,14,2.6871003061532974
PP,Short,15,11.32874627908071
PP,Short,16,8.300715394919584
PP,Short,17,9.958603123823801
PP,Short,18,7.089537869556807
PP,Short,19,5.987613335251808
PP,Short,20,7.055480201728642
PP,Short,21,6.158368341624737
PP,Short,22,8.303137417072834
PP,Short,23,4.968482758363952
PP,Short,24,7.986811782419681
PP,Short,25,7.8753946069628
PP,Short,26,4.2837042808532715
